FID,HotSpringU,Name,Label,OtherIdent,Source,SourceURI,FeatureTyp,OtherLocat,County,State,PLSS_Merid,Township,Range,Section,SectionPar,LatDegree,LongDegree,SRS,Observatio,Temperatur,Temperat_1,TempMeasur,TempMeas_1,Flow,FlowUnits,FlowMeasur,FlowMeas_1,Classifica,RelatedWat,DataEntryS,RelatedRes,TOPO100K,QUAD_NAME,WKT
115,OR_Mickey Hot Springs - M0160_DOGAMI:HA-076p,Mickey Hot Springs - M0160,Mickey Hot Springs - M0160,HA-076p,"University of Idaho, Department of Geological Sciences, Moscow, Idaho EPSCoR ""Biocomplexity in Extreme Environments"": University of Idaho, Moscow, ID",http://www.uidaho.edu/biogeochemistry/data.html,warm,Alvord Valley,Harney,Oregon,Willamette,033S,035E,13,BDB,42.677101,-118.345953,EPSG:4326,http://www.oregongeology.org/gtilo/ngds/sprg/HA-076p,92.8,Farenheit,spot measurement,correctness date is time of publication by default,-999, , , ,0, ,"Clark Niewendorp, 2006 (update, 2010); Industrial Minerals Geologist, Oregon Department of Geology and Mineral Industries; clark.niewendorp@dogami.state.or.us",http://www.oregongeology.org/gtilo/ngds/sprg/HA-076p.pdf,Steens Mountain,Mickey Springs,POINT (1891617.7066665096 345592.89257216576)
116,OR_Mickey Hot Springs - M0410_DOGAMI:HA-076p1,Mickey Hot Springs - M0410,Mickey Hot Springs - M0410,HA-076p1,"University of Idaho, Department of Geological Sciences, Moscow, Idaho EPSCoR ""Biocomplexity in Extreme Environments"": University of Idaho, Moscow, ID",http://www.uidaho.edu/biogeochemistry/data.html,hot,Alvord Valley,Harney,Oregon,Willamette,033S,035E,13,BDC,42.676533,-118.345629,EPSG:4326,http://www.oregongeology.org/gtilo/ngds/sprg/HA-076p1,206.8,Farenheit,spot measurement,correctness date is time of publication by default,-999, , , ,0, ,"Clark Niewendorp, 2006 (update, 2010); Industrial Minerals Geologist, Oregon Department of Geology and Mineral Industries; clark.niewendorp@dogami.state.or.us",http://www.oregongeology.org/gtilo/ngds/sprg/HA-076p1.pdf,Steens Mountain,Mickey Springs,POINT (1891710.2505562555 345388.21009598218)
117,OR_Mickey Hot Springs - M0170_DOGAMI:HA-076q,Mickey Hot Springs - M0170,Mickey Hot Springs - M0170,HA-076q,"University of Idaho, Department of Geological Sciences, Moscow, Idaho EPSCoR ""Biocomplexity in Extreme Environments"": University of Idaho, Moscow, ID",http://www.uidaho.edu/biogeochemistry/data.html,hot,Alvord Valley,Harney,Oregon,Willamette,033S,035E,13,BDB,42.677079,-118.346234,EPSG:4326,http://www.oregongeology.org/gtilo/ngds/sprg/HA-076q,135,Farenheit,spot measurement,correctness date is time of publication by default,-999, , , ,0, ,"Clark Niewendorp, 2006 (update, 2010); Industrial Minerals Geologist, Oregon Department of Geology and Mineral Industries; clark.niewendorp@dogami.state.or.us",http://www.oregongeology.org/gtilo/ngds/sprg/HA-076q.pdf,Steens Mountain,Mickey Springs,POINT (1891542.3662835681 345582.89372731303)
118,OR_Mickey Hot Springs - M0420_DOGAMI:HA-076q1,Mickey Hot Springs - M0420,Mickey Hot Springs - M0420,HA-076q1,"University of Idaho, Department of Geological Sciences, Moscow, Idaho EPSCoR ""Biocomplexity in Extreme Environments"": University of Idaho, Moscow, ID",http://www.uidaho.edu/biogeochemistry/data.html,hot,Alvord Valley,Harney,Oregon,Willamette,033S,035E,13,BDC,42.676528,-118.345618,EPSG:4326,http://www.oregongeology.org/gtilo/ngds/sprg/HA-076q1,206.2,Farenheit,spot measurement,correctness date is time of publication by default,-999, , , ,0, ,"Clark Niewendorp, 2006 (update, 2010); Industrial Minerals Geologist, Oregon Department of Geology and Mineral Industries; clark.niewendorp@dogami.state.or.us",http://www.oregongeology.org/gtilo/ngds/sprg/HA-076q1.pdf,Steens Mountain,Mickey Springs,POINT (1891713.2559024927 345386.46581161674)
119,OR_Mickey Hot Springs - M0180_DOGAMI:HA-076r,Mickey Hot Springs - M0180,Mickey Hot Springs - M0180,HA-076r,"University of Idaho, Department of Geological Sciences, Moscow, Idaho EPSCoR ""Biocomplexity in Extreme Environments"": University of Idaho, Moscow, ID",http://www.uidaho.edu/biogeochemistry/data.html,warm,Alvord Valley,Harney,Oregon,Willamette,033S,035E,13,BDB,42.677115,-118.346276,EPSG:4326,http://www.oregongeology.org/gtilo/ngds/sprg/HA-076r,107.6,Farenheit,spot measurement,correctness date is time of publication by default,-999, , , ,0, ,"Clark Niewendorp, 2006 (update, 2010); Industrial Minerals Geologist, Oregon Department of Geology and Mineral Industries; clark.niewendorp@dogami.state.or.us",http://www.oregongeology.org/gtilo/ngds/sprg/HA-076r.pdf,Steens Mountain,Mickey Springs,POINT (1891530.729819909 345595.7151704139)
120,OR_Mickey Hot Springs - M0430_DOGAMI:HA-076r1,Mickey Hot Springs - M0430,Mickey Hot Springs - M0430,HA-076r1,"University of Idaho, Department of Geological Sciences, Moscow, Idaho EPSCoR ""Biocomplexity in Extreme Environments"": University of Idaho, Moscow, ID",http://www.uidaho.edu/biogeochemistry/data.html,hot,Alvord Valley,Harney,Oregon,Willamette,033S,035E,13,BDC,42.676519,-118.345605,EPSG:4326,http://www.oregongeology.org/gtilo/ngds/sprg/HA-076r1,208.8,Farenheit,spot measurement,correctness date is time of publication by default,-999, , , ,0, ,"Clark Niewendorp, 2006 (update, 2010); Industrial Minerals Geologist, Oregon Department of Geology and Mineral Industries; clark.niewendorp@dogami.state.or.us",http://www.oregongeology.org/gtilo/ngds/sprg/HA-076r1.pdf,Steens Mountain,Mickey Springs,POINT (1891716.8372359951 345383.27811539458)
121,OR_Mickey Hot Springs - M0190_DOGAMI:HA-076s,Mickey Hot Springs - M0190,Mickey Hot Springs - M0190,HA-076s,"University of Idaho, Department of Geological Sciences, Moscow, Idaho EPSCoR ""Biocomplexity in Extreme Environments"": University of Idaho, Moscow, ID",http://www.uidaho.edu/biogeochemistry/data.html,hot,Alvord Valley,Harney,Oregon,Willamette,033S,035E,13,BDB,42.677105,-118.346357,EPSG:4326,http://www.oregongeology.org/gtilo/ngds/sprg/HA-076s,135,Farenheit,spot measurement,correctness date is time of publication by default,-999, , , ,0, ,"Clark Niewendorp, 2006 (update, 2010); Industrial Minerals Geologist, Oregon Department of Geology and Mineral Industries; clark.niewendorp@dogami.state.or.us",http://www.oregongeology.org/gtilo/ngds/sprg/HA-076s.pdf,Steens Mountain,Mickey Springs,POINT (1891509.0474600741 345591.49996079307)
122,OR_Mickey Hot Springs - M0440_DOGAMI:HA-076s1,Mickey Hot Springs - M0440,Mickey Hot Springs - M0440,HA-076s1,"University of Idaho, Department of Geological Sciences, Moscow, Idaho EPSCoR ""Biocomplexity in Extreme Environments"": University of Idaho, Moscow, ID",http://www.uidaho.edu/biogeochemistry/data.html,hot,Alvord Valley,Harney,Oregon,Willamette,333S,035E,13,BDC,42.676587,-118.345619,EPSG:4326,http://www.oregongeology.org/gtilo/ngds/sprg/HA-076s1,201.2,Farenheit,spot measurement,correctness date is time of publication by default,-999, , , ,0, ,"Clark Niewendorp, 2006 (update, 2010); Industrial Minerals Geologist, Oregon Department of Geology and Mineral Industries; clark.niewendorp@dogami.state.or.us",http://www.oregongeology.org/gtilo/ngds/sprg/HA-076s1.pdf,Steens Mountain,Mickey Springs,POINT (1891712.4227903392 345407.95725717739)
123,OR_Mickey Hot Springs - M0200_DOGAMI:HA-076t,Mickey Hot Springs - M0200,Mickey Hot Springs - M0200,HA-076t,"University of Idaho, Department of Geological Sciences, Moscow, Idaho EPSCoR ""Biocomplexity in Extreme Environments"": University of Idaho, Moscow, ID",http://www.uidaho.edu/biogeochemistry/data.html,thermal,Alvord Valley,Harney,Oregon,Willamette,033S,035E,13,BDB,42.677096,-118.346356,EPSG:4326,http://www.oregongeology.org/gtilo/ngds/sprg/HA-076t,-999, , , ,-999, , , ,0, ,"Clark Niewendorp, 2006 (update, 2010); Industrial Minerals Geologist, Oregon Department of Geology and Mineral Industries; clark.niewendorp@dogami.state.or.us",http://www.oregongeology.org/gtilo/ngds/sprg/HA-076t.pdf,Steens Mountain,Mickey Springs,POINT (1891509.4023657974 345588.22758215311)
124,OR_Mickey Hot Springs - M0450_DOGAMI:HA-076t1,Mickey Hot Springs - M0450,Mickey Hot Springs - M0450,HA-076t1,"University of Idaho, Department of Geological Sciences, Moscow, Idaho EPSCoR ""Biocomplexity in Extreme Environments"": University of Idaho, Moscow, ID",http://www.uidaho.edu/biogeochemistry/data.html,hot,Alvord Valley,Harney,Oregon,Willamette,033S,035E,13,BDC,42.67659,-118.345607,EPSG:4326,http://www.oregongeology.org/gtilo/ngds/sprg/HA-076t1,196.7,Farenheit,spot measurement,correctness date is time of publication by default,-999, , , ,0, ,"Clark Niewendorp, 2006 (update, 2010); Industrial Minerals Geologist, Oregon Department of Geology and Mineral Industries; clark.niewendorp@dogami.state.or.us",http://www.oregongeology.org/gtilo/ngds/sprg/HA-076t1.pdf,Steens Mountain,Mickey Springs,POINT (1891715.6204918388 345409.13508088799)
125,OR_Mickey Hot Springs - M0210_DOGAMI:HA-076u,Mickey Hot Springs - M0210,Mickey Hot Springs - M0210,HA-076u,"University of Idaho, Department of Geological Sciences, Moscow, Idaho EPSCoR ""Biocomplexity in Extreme Environments"": University of Idaho, Moscow, ID",http://www.uidaho.edu/biogeochemistry/data.html,thermal,Alvord Valley,Harney,Oregon,Willamette,033S,035E,13,BDB,42.677022,-118.346526,EPSG:4326,http://www.oregongeology.org/gtilo/ngds/sprg/HA-076u,-999, , , ,-999, , , ,0, ,"Clark Niewendorp, 2006 (update, 2010); Industrial Minerals Geologist, Oregon Department of Geology and Mineral Industries; clark.niewendorp@dogami.state.or.us",http://www.oregongeology.org/gtilo/ngds/sprg/HA-076u.pdf,Steens Mountain,Mickey Springs,POINT (1891464.402916135 345560.06419936835)
126,OR_Mickey Hot Springs - M0460_DOGAMI:HA-076u1,Mickey Hot Springs - M0460,Mickey Hot Springs - M0460,HA-076u1,"University of Idaho, Department of Geological Sciences, Moscow, Idaho EPSCoR ""Biocomplexity in Extreme Environments"": University of Idaho, Moscow, ID",http://www.uidaho.edu/biogeochemistry/data.html,hot,Alvord Valley,Harney,Oregon,Willamette,033S,035E,13,BDC,42.676601,-118.345606,EPSG:4326,http://www.oregongeology.org/gtilo/ngds/sprg/HA-076u1,208.9,Farenheit,spot measurement,correctness date is time of publication by default,-999, , , ,0, ,"Clark Niewendorp, 2006 (update, 2010); Industrial Minerals Geologist, Oregon Department of Geology and Mineral Industries; clark.niewendorp@dogami.state.or.us",http://www.oregongeology.org/gtilo/ngds/sprg/HA-076u1.pdf,Steens Mountain,Mickey Springs,POINT (1891715.7841588242 345413.15033279901)
127,OR_Mickey Hot Springs - M0220_DOGAMI:HA-076v,Mickey Hot Springs - M0220,Mickey Hot Springs - M0220,HA-076v,"University of Idaho, Department of Geological Sciences, Moscow, Idaho EPSCoR ""Biocomplexity in Extreme Environments"": University of Idaho, Moscow, ID",http://www.uidaho.edu/biogeochemistry/data.html,hot,Alvord Valley,Harney,Oregon,Willamette,033S,035E,13,BDC,42.676762,-118.345678,EPSG:4326,http://www.oregongeology.org/gtilo/ngds/sprg/HA-076v,167.3,Farenheit,spot measurement,correctness date is time of publication by default,-999, , , ,0, ,"Clark Niewendorp, 2006 (update, 2010); Industrial Minerals Geologist, Oregon Department of Geology and Mineral Industries; clark.niewendorp@dogami.state.or.us",http://www.oregongeology.org/gtilo/ngds/sprg/HA-076v.pdf,Steens Mountain,Mickey Springs,POINT (1891694.8861307462 345471.30766562722)
128,OR_Mickey Hot Springs - M0470_DOGAMI:HA-076v1,Mickey Hot Springs - M0470,Mickey Hot Springs - M0470,HA-076v1,"University of Idaho, Department of Geological Sciences, Moscow, Idaho EPSCoR ""Biocomplexity in Extreme Environments"": University of Idaho, Moscow, ID",http://www.uidaho.edu/biogeochemistry/data.html,hot,Alvord Valley,Harney,Oregon,Willamette,033S,035E,13,BDC,42.676623,-118.345608,EPSG:4326,http://www.oregongeology.org/gtilo/ngds/sprg/HA-076v1,207.1,Farenheit,spot measurement,correctness date is time of publication by default,-999, , , ,0, ,"Clark Niewendorp, 2006 (update, 2010); Industrial Minerals Geologist, Oregon Department of Geology and Mineral Industries; clark.niewendorp@dogami.state.or.us",http://www.oregongeology.org/gtilo/ngds/sprg/HA-076v1.pdf,Steens Mountain,Mickey Springs,POINT (1891715.0360290813 345421.15260998771)
129,OR_Mickey Hot Springs - M0230_DOGAMI:HA-076w,Mickey Hot Springs - M0230,Mickey Hot Springs - M0230,HA-076w,"University of Idaho, Department of Geological Sciences, Moscow, Idaho EPSCoR ""Biocomplexity in Extreme Environments"": University of Idaho, Moscow, ID",http://www.uidaho.edu/biogeochemistry/data.html,hot,Alvord Valley,Harney,Oregon,Willamette,033S,035E,13,BDC,42.676726,-118.345616,EPSG:4326,http://www.oregongeology.org/gtilo/ngds/sprg/HA-076w,156,Farenheit,spot measurement,correctness date is time of publication by default,-999, , , ,0, ,"Clark Niewendorp, 2006 (update, 2010); Industrial Minerals Geologist, Oregon Department of Geology and Mineral Industries; clark.niewendorp@dogami.state.or.us",http://www.oregongeology.org/gtilo/ngds/sprg/HA-076w.pdf,Steens Mountain,Mickey Springs,POINT (1891711.9000615231 345458.62743911502)
130,OR_Mickey Hot Springs - M0480_DOGAMI:HA-076w1,Mickey Hot Springs - M0480,Mickey Hot Springs - M0480,HA-076w1,"University of Idaho, Department of Geological Sciences, Moscow, Idaho EPSCoR ""Biocomplexity in Extreme Environments"": University of Idaho, Moscow, ID",http://www.uidaho.edu/biogeochemistry/data.html,hot,Alvord Valley,Harney,Oregon,Willamette,033S,035E,13,BDC,42.676622,-118.345595,EPSG:4326,http://www.oregongeology.org/gtilo/ngds/sprg/HA-076w1,208.9,Farenheit,spot measurement,correctness date is time of publication by default,-999, , , ,0, ,"Clark Niewendorp, 2006 (update, 2010); Industrial Minerals Geologist, Oregon Department of Geology and Mineral Industries; clark.niewendorp@dogami.state.or.us",http://www.oregongeology.org/gtilo/ngds/sprg/HA-076w1.pdf,Steens Mountain,Mickey Springs,POINT (1891718.5408487299 345420.87996526121)
131,OR_Mickey Hot Springs - M0240_DOGAMI:HA-076x,Mickey Hot Springs - M0240,Mickey Hot Springs - M0240,HA-076x,"University of Idaho, Department of Geological Sciences, Moscow, Idaho EPSCoR ""Biocomplexity in Extreme Environments"": University of Idaho, Moscow, ID",http://www.uidaho.edu/biogeochemistry/data.html,hot,Alvord Valley,Harney,Oregon,Willamette,033S,035E,13,BDC,42.676551,-118.346027,EPSG:4326,http://www.oregongeology.org/gtilo/ngds/sprg/HA-076x,206.2,Farenheit,spot measurement,correctness date is time of publication by default,-999, , , ,0, ,"Clark Niewendorp, 2006 (update, 2010); Industrial Minerals Geologist, Oregon Department of Geology and Mineral Industries; clark.niewendorp@dogami.state.or.us",http://www.oregongeology.org/gtilo/ngds/sprg/HA-076x.pdf,Steens Mountain,Mickey Springs,POINT (1891603.0696709952 345391.96070121095)
132,OR_Mickey Hot Springs - M0490_DOGAMI:HA-076x1,Mickey Hot Springs - M0490,Mickey Hot Springs - M0490,HA-076x1,"University of Idaho, Department of Geological Sciences, Moscow, Idaho EPSCoR ""Biocomplexity in Extreme Environments"": University of Idaho, Moscow, ID",http://www.uidaho.edu/biogeochemistry/data.html,hot,Alvord Valley,Harney,Oregon,Willamette,033S,035E,13,BDC,42.676533,-118.345569,EPSG:4326,http://www.oregongeology.org/gtilo/ngds/sprg/HA-076x1,186.3,Farenheit,spot measurement,correctness date is time of publication by default,-999, , , ,0, ,"Clark Niewendorp, 2006 (update, 2010); Industrial Minerals Geologist, Oregon Department of Geology and Mineral Industries; clark.niewendorp@dogami.state.or.us",http://www.oregongeology.org/gtilo/ngds/sprg/HA-076x1.pdf,Steens Mountain,Mickey Springs,POINT (1891726.3825312122 345388.63349687296)
133,OR_Mickey Hot Springs - M0250_DOGAMI:HA-076y,Mickey Hot Springs - M0250,Mickey Hot Springs - M0250,HA-076y,"University of Idaho, Department of Geological Sciences, Moscow, Idaho EPSCoR ""Biocomplexity in Extreme Environments"": University of Idaho, Moscow, ID",http://www.uidaho.edu/biogeochemistry/data.html,hot,Alvord Valley,Harney,Oregon,Willamette,033S,035E,13,BDC,42.676532,-118.346088,EPSG:4326,http://www.oregongeology.org/gtilo/ngds/sprg/HA-076y,206.8,Farenheit,spot measurement,correctness date is time of publication by default,-999, , , ,0, ,"Clark Niewendorp, 2006 (update, 2010); Industrial Minerals Geologist, Oregon Department of Geology and Mineral Industries; clark.niewendorp@dogami.state.or.us",http://www.oregongeology.org/gtilo/ngds/sprg/HA-076y.pdf,Steens Mountain,Mickey Springs,POINT (1891586.8504990169 345384.60708782746)
134,OR_Mickey Hot Springs - M0500_DOGAMI:HA-076y1,Mickey Hot Springs - M0500,Mickey Hot Springs - M0500,HA-076y1,"University of Idaho, Department of Geological Sciences, Moscow, Idaho EPSCoR ""Biocomplexity in Extreme Environments"": University of Idaho, Moscow, ID",http://www.uidaho.edu/biogeochemistry/data.html,hot,Alvord Valley,Harney,Oregon,Willamette,033S,035E,13,BDC,42.676529,-118.345575,EPSG:4326,http://www.oregongeology.org/gtilo/ngds/sprg/HA-076y1,172.6,Farenheit,spot measurement,correctness date is time of publication by default,-999, , , ,0, ,"Clark Niewendorp, 2006 (update, 2010); Industrial Minerals Geologist, Oregon Department of Geology and Mineral Industries; clark.niewendorp@dogami.state.or.us",http://www.oregongeology.org/gtilo/ngds/sprg/HA-076y1.pdf,Steens Mountain,Mickey Springs,POINT (1891724.8075884676 345387.13363072899)
135,OR_Mickey Hot Springs - M0260_DOGAMI:HA-076z,Mickey Hot Springs - M0260,Mickey Hot Springs - M0260,HA-076z,"University of Idaho, Department of Geological Sciences, Moscow, Idaho EPSCoR ""Biocomplexity in Extreme Environments"": University of Idaho, Moscow, ID",http://www.uidaho.edu/biogeochemistry/data.html,hot,Alvord Valley,Harney,Oregon,Willamette,033S,035E,13,BDC,42.676496,-118.346087,EPSG:4326,http://www.oregongeology.org/gtilo/ngds/sprg/HA-076z,207.3,Farenheit,spot measurement,correctness date is time of publication by default,-999, , , ,0, ,"Clark Niewendorp, 2006 (update, 2010); Industrial Minerals Geologist, Oregon Department of Geology and Mineral Industries; clark.niewendorp@dogami.state.or.us",http://www.oregongeology.org/gtilo/ngds/sprg/HA-076z.pdf,Steens Mountain,Mickey Springs,POINT (1891587.4635761699 345371.49641063344)
136,OR_Mickey Hot Springs - M0510_DOGAMI:HA-076z1,Mickey Hot Springs - M0510,Mickey Hot Springs - M0510,HA-076z1,"University of Idaho, Department of Geological Sciences, Moscow, Idaho EPSCoR ""Biocomplexity in Extreme Environments"": University of Idaho, Moscow, ID",http://www.uidaho.edu/biogeochemistry/data.html,hot,Alvord Valley,Harney,Oregon,Willamette,033S,035E,13,BDC,42.676519,-118.345571,EPSG:4326,http://www.oregongeology.org/gtilo/ngds/sprg/HA-076z1,206.2,Farenheit,spot measurement,correctness date is time of publication by default,-999, , , ,0, ,"Clark Niewendorp, 2006 (update, 2010); Industrial Minerals Geologist, Oregon Department of Geology and Mineral Industries; clark.niewendorp@dogami.state.or.us",http://www.oregongeology.org/gtilo/ngds/sprg/HA-076z1.pdf,Steens Mountain,Mickey Springs,POINT (1891725.9786905514 345383.51804384682)
137,OR_Alvord Hot Spring - A0010_DOGAMI:HA-077a,Alvord Hot Spring - A0010,Alvord Hot Spring - A0010,HA-077a,"University of Idaho, Department of Geological Sciences, Moscow, Idaho EPSCoR ""Biocomplexity in Extreme Environments"": University of Idaho, Moscow, ID",http://www.uidaho.edu/biogeochemistry/data.html,hot,Alvord Valley,Harney,Oregon,Willamette,034S,034E,32,DBA,42.543409,-118.533949,EPSG:4326,http://www.oregongeology.org/gtilo/ngds/sprg/HA-077a,154.6,Farenheit,spot measurement,correctness date is time of publication by default,-999, , , ,0, ,"Clark Niewendorp, 2006 (update, 2010); Industrial Minerals Geologist, Oregon Department of Geology and Mineral Industries; clark.niewendorp@dogami.state.or.us",http://www.oregongeology.org/gtilo/ngds/sprg/HA-077a.pdf,Steens Mountain,Alvord Hot Springs,POINT (1842237.7613709432 295605.67852517887)
138,OR_Alvord Hot Spring - A0260_DOGAMI:HA-077a1,Alvord Hot Spring - A0260,Alvord Hot Spring - A0260,HA-077a1,"University of Idaho, Department of Geological Sciences, Moscow, Idaho EPSCoR ""Biocomplexity in Extreme Environments"": University of Idaho, Moscow, ID",http://www.uidaho.edu/biogeochemistry/data.html,hot,Alvord Valley,Harney,Oregon,Willamette,034S,034E,32,ACD,42.543916,-118.533729,EPSG:4326,http://www.oregongeology.org/gtilo/ngds/sprg/HA-077a1,174.7,Farenheit,spot measurement,correctness date is time of publication by default,-999, , , ,0, ,"Clark Niewendorp, 2006 (update, 2010); Industrial Minerals Geologist, Oregon Department of Geology and Mineral Industries; clark.niewendorp@dogami.state.or.us",http://www.oregongeology.org/gtilo/ngds/sprg/HA-077a1.pdf,Steens Mountain,Alvord Hot Springs,POINT (1842292.6197411255 295791.85826908931)
139,OR_Alvord Hot Spring - A0750_DOGAMI:HA-077a3,Alvord Hot Spring - A0750,Alvord Hot Spring - A0750,HA-077a3,"University of Idaho, Department of Geological Sciences, Moscow, Idaho EPSCoR ""Biocomplexity in Extreme Environments"": University of Idaho, Moscow, ID",http://www.uidaho.edu/biogeochemistry/data.html,thermal,Alvord Valley,Harney,Oregon,Willamette,035S,034E,32,DAD,42.454345,-118.530325,EPSG:4326,http://www.oregongeology.org/gtilo/ngds/sprg/HA-077a3,-999, , , ,-999, , , ,0, ,"Clark Niewendorp, 2006 (update, 2010); Industrial Minerals Geologist, Oregon Department of Geology and Mineral Industries; clark.niewendorp@dogami.state.or.us",http://www.oregongeology.org/gtilo/ngds/sprg/HA-077a3.pdf,Alvord Lake,Andrews,POINT (1843993.125920888 263172.12017537508)
140,OR_Alvord Hot Spring - A0020_DOGAMI:HA-077b,Alvord Hot Spring - A0020,Alvord Hot Spring - A0020,HA-077b,"University of Idaho, Department of Geological Sciences, Moscow, Idaho EPSCoR ""Biocomplexity in Extreme Environments"": University of Idaho, Moscow, ID",http://www.uidaho.edu/biogeochemistry/data.html,hot,Alvord Valley,Harney,Oregon,Willamette,034S,034E,32,ACD,42.543452,-118.533975,EPSG:4326,http://www.oregongeology.org/gtilo/ngds/sprg/HA-077b,164.5,Farenheit,spot measurement,correctness date is time of publication by default,-999, , , ,0, ,"Clark Niewendorp, 2006 (update, 2010); Industrial Minerals Geologist, Oregon Department of Geology and Mineral Industries; clark.niewendorp@dogami.state.or.us",http://www.oregongeology.org/gtilo/ngds/sprg/HA-077b.pdf,Steens Mountain,Alvord Hot Springs,POINT (1842230.3797839796 295621.18068567518)
141,OR_Alvord Hot Spring - A0270_DOGAMI:HA-077b1,Alvord Hot Spring - A0270,Alvord Hot Spring - A0270,HA-077b1,"University of Idaho, Department of Geological Sciences, Moscow, Idaho EPSCoR ""Biocomplexity in Extreme Environments"": University of Idaho, Moscow, ID",http://www.uidaho.edu/biogeochemistry/data.html,hot,Alvord Valley,Harney,Oregon,Willamette,034S,034E,32,ACD,42.543997,-118.533696,EPSG:4326,http://www.oregongeology.org/gtilo/ngds/sprg/HA-077b1,159.4,Farenheit,spot measurement,correctness date is time of publication by default,-999, , , ,0, ,"Clark Niewendorp, 2006 (update, 2010); Industrial Minerals Geologist, Oregon Department of Geology and Mineral Industries; clark.niewendorp@dogami.state.or.us",http://www.oregongeology.org/gtilo/ngds/sprg/HA-077b1.pdf,Steens Mountain,Alvord Hot Springs,POINT (1842300.8052017633 295821.58910701837)
142,OR_Alvord Hot Spring - A0520_DOGAMI:HA-077b2,Alvord Hot Spring - A0520,Alvord Hot Spring - A0520,HA-077b2,"University of Idaho, Department of Geological Sciences, Moscow, Idaho EPSCoR ""Biocomplexity in Extreme Environments"": University of Idaho, Moscow, ID",http://www.uidaho.edu/biogeochemistry/data.html,thermal,Alvord Valley,Harney,Oregon,Willamette,035S,034E,17,DCD,42.49477,-118.534836,EPSG:4326,http://www.oregongeology.org/gtilo/ngds/sprg/HA-077b2,-999, , , ,-999, , , ,0, ,"Clark Niewendorp, 2006 (update, 2010); Industrial Minerals Geologist, Oregon Department of Geology and Mineral Industries; clark.niewendorp@dogami.state.or.us",http://www.oregongeology.org/gtilo/ngds/sprg/HA-077b2.pdf,Alvord Lake,Andrews,POINT (1842423.0730433802 277874.88748544024)
143,OR_Alvord Hot Spring - A0760_DOGAMI:HA-077b3,Alvord Hot Spring - A0760,Alvord Hot Spring - A0760,HA-077b3,"University of Idaho, Department of Geological Sciences, Moscow, Idaho EPSCoR ""Biocomplexity in Extreme Environments"": University of Idaho, Moscow, ID",http://www.uidaho.edu/biogeochemistry/data.html,thermal,Alvord Valley,Harney,Oregon,Willamette,035S,034E,32,DDC,42.451719,-118.530602,EPSG:4326,http://www.oregongeology.org/gtilo/ngds/sprg/HA-077b3,-999, , , ,-999, , , ,0, ,"Clark Niewendorp, 2006 (update, 2010); Industrial Minerals Geologist, Oregon Department of Geology and Mineral Industries; clark.niewendorp@dogami.state.or.us",http://www.oregongeology.org/gtilo/ngds/sprg/HA-077b3.pdf,Alvord Lake,Andrews,POINT (1843941.3320887981 262213.33619716193)
144,OR_Alvord Hot Spring - A0030_DOGAMI:HA-077c,Alvord Hot Spring - A0030,Alvord Hot Spring - A0030,HA-077c,"University of Idaho, Department of Geological Sciences, Moscow, Idaho EPSCoR ""Biocomplexity in Extreme Environments"": University of Idaho, Moscow, ID",http://www.uidaho.edu/biogeochemistry/data.html,hot,Alvord Valley,Harney,Oregon,Willamette,034S,034E,32,ACD,42.54347,-118.533974,EPSG:4326,http://www.oregongeology.org/gtilo/ngds/sprg/HA-077c,164.5,Farenheit,spot measurement,correctness date is time of publication by default,-999, , , ,0, ,"Clark Niewendorp, 2006 (update, 2010); Industrial Minerals Geologist, Oregon Department of Geology and Mineral Industries; clark.niewendorp@dogami.state.or.us",http://www.oregongeology.org/gtilo/ngds/sprg/HA-077c.pdf,Steens Mountain,Alvord Hot Springs,POINT (1842230.4921541349 295627.74665928702)
145,OR_Alvord Hot Spring - A0280_DOGAMI:HA-077c1,Alvord Hot Spring - A0280,Alvord Hot Spring - A0280,HA-077c1,"University of Idaho, Department of Geological Sciences, Moscow, Idaho EPSCoR ""Biocomplexity in Extreme Environments"": University of Idaho, Moscow, ID",http://www.uidaho.edu/biogeochemistry/data.html,hot,Alvord Valley,Harney,Oregon,Willamette,034S,034E,32,ACD,42.544014,-118.533721,EPSG:4326,http://www.oregongeology.org/gtilo/ngds/sprg/HA-077c1,141.4,Farenheit,spot measurement,correctness date is time of publication by default,-999, , , ,0, ,"Clark Niewendorp, 2006 (update, 2010); Industrial Minerals Geologist, Oregon Department of Geology and Mineral Industries; clark.niewendorp@dogami.state.or.us",http://www.oregongeology.org/gtilo/ngds/sprg/HA-077c1.pdf,Steens Mountain,Alvord Hot Springs,POINT (1842293.9200593531 295827.62283864588)
